_id,市区,数量
61d518398180a5b59808c458,开发区,442
61d5183a8180a5b59808c45d,沙河口,435
61d5183a8180a5b59808c462,高新园区,204
61d5183a8180a5b59808c467,金州,304
61d5183a8180a5b59808c46c,甘井子,815
61d5183a8180a5b59808c471,普兰店,68
61d5183a8180a5b59808c476,旅顺口,102
61d5183a8180a5b59808c47b,中山,268
61d5183a8180a5b59808c480,瓦房店,39
61d5183a8180a5b59808c485,西岗,170
