_id,其他,市区,毛坯,简装,精装
61d51bf311dc85aed2ea1bbb,4,开发区,25,100,313
61d51bf311dc85aed2ea1bc0,2,沙河口,8,189,236
61d51bf311dc85aed2ea1bc5,2,高新园区,6,36,160
61d51bf311dc85aed2ea1bca,12,金州,14,76,202
61d51bf311dc85aed2ea1bcf,18,甘井子,29,223,545
61d51bf311dc85aed2ea1bd4,7,普兰店,4,17,40
61d51bf311dc85aed2ea1bd9,3,旅顺口,23,21,55
61d51bf311dc85aed2ea1bde,4,中山,9,86,169
61d51bf311dc85aed2ea1be3,18,瓦房店,3,4,14
61d51bf311dc85aed2ea1be8,2,西岗,1,70,97
