_id,市区,无电梯,有电梯
61d518398180a5b59808c45b,开发区,101,341
61d5183a8180a5b59808c460,沙河口,277,158
61d5183a8180a5b59808c465,高新园区,36,168
61d5183a8180a5b59808c46a,金州,138,166
61d5183a8180a5b59808c46f,甘井子,356,459
61d5183a8180a5b59808c474,普兰店,37,31
61d5183a8180a5b59808c479,旅顺口,35,67
61d5183a8180a5b59808c47e,中山,122,146
61d5183a8180a5b59808c483,瓦房店,31,8
61d5183a8180a5b59808c488,西岗,105,65
